time,x,y,z
3.056,0.04,-0.12,0.96
3.073,0.04,-0.12,0.91
3.074,0.02,-0.10,0.83
3.075,0.01,-0.08,0.77
3.075,-0.01,-0.05,0.71
3.092,-0.02,-0.03,0.65
3.093,-0.02,-0.02,0.60
3.094,-0.03,-0.02,0.58
3.094,-0.05,-0.01,0.58
3.116,-0.06,-0.01,0.60
3.116,-0.08,-0.00,0.64
3.117,-0.08,-0.00,0.69
3.118,-0.10,0.00,0.74
3.135,-0.10,-0.01,0.80
3.136,-0.10,-0.02,0.86
3.137,-0.10,-0.04,0.94
3.138,-0.08,-0.06,0.99
3.153,-0.07,-0.08,1.03
3.155,-0.06,-0.09,1.06
3.155,-0.05,-0.12,1.10
3.156,-0.03,-0.13,1.11
3.173,-0.03,-0.15,1.12
3.174,-0.04,-0.15,1.13
3.175,-0.04,-0.14,1.13
3.175,-0.04,-0.14,1.13
3.193,-0.05,-0.13,1.12
3.194,-0.05,-0.11,1.11
3.195,-0.06,-0.11,1.10
3.195,-0.06,-0.11,1.08
3.213,-0.06,-0.09,1.05
3.214,-0.05,-0.08,1.03
3.215,-0.05,-0.07,1.03
3.215,-0.03,-0.06,0.99
3.234,-0.02,-0.04,0.96
3.235,-0.02,-0.02,0.93
3.235,-0.01,-0.02,0.90
3.236,-0.01,-0.01,0.88
3.254,-0.01,0.01,0.86
3.255,-0.01,0.02,0.82
3.255,-0.01,0.04,0.79
3.256,-0.00,0.05,0.76
3.274,0.01,0.05,0.75
3.275,0.01,0.05,0.74
3.275,0.01,0.07,0.75
3.276,0.01,0.07,0.76
3.294,0.01,0.07,0.77
3.295,0.01,0.07,0.78
3.295,0.01,0.08,0.79
3.295,0.02,0.08,0.82
3.314,0.02,0.08,0.86
3.315,0.03,0.08,0.87
3.315,0.03,0.09,0.89
3.315,0.04,0.08,0.90
3.334,0.03,0.10,0.89
3.335,0.04,0.08,0.90
3.336,0.03,0.08,0.91
3.336,0.03,0.08,0.93
3.357,0.03,0.07,0.94
3.358,0.02,0.07,0.95
3.358,0.03,0.07,0.96
3.359,0.03,0.06,0.98
3.381,0.02,0.06,1.01
3.382,0.03,0.05,1.03
3.383,0.03,0.04,1.05
3.384,0.03,0.05,1.07
3.394,0.03,0.04,1.08
3.395,0.03,0.04,1.08
3.395,0.03,0.05,1.08
3.396,0.02,0.05,1.08
3.414,0.02,0.06,1.05
3.415,0.01,0.07,1.04
